h1_rank,h1_suit,h2_rank,h2_suit,c1_rank,c1_suit,c2_rank,c2_suit,c3_rank,c3_suit,c4_rank,c4_suit,c5_rank,c5_suit,num_opponents,equity
9,3,14,1,7,1,12,3,13,1,0,0,0,0,2,7.7
7,2,14,1,8,0,9,0,7,0,2,3,3,2,5,0.25
8,1,12,0,5,1,3,3,10,3,13,0,0,0,2,1.85
9,1,14,3,10,3,11,3,12,2,9,0,3,0,5,0.1
14,1,8,1,3,2,7,2,10,3,4,3,11,0,1,0.0
10,3,11,0,5,0,7,3,2,3,11,2,12,2,1,43.85
5,0,11,1,4,0,8,2,10,3,0,0,0,0,3,3.55
7,1,2,3,13,2,12,1,11,2,8,1,0,0,3,0.55
8,3,4,0,4,2,7,1,7,0,13,2,0,0,5,5.6
3,0,6,3,11,0,13,2,12,1,4,1,0,0,1,5.15
11,0,14,0,10,1,12,1,11,3,7,0,8,3,5,0.15
6,3,10,0,13,3,7,0,12,0,7,3,0,0,1,7.2
11,2,9,2,10,1,7,2,14,1,13,3,0,0,5,10.65
3,1,12,2,9,0,4,3,11,0,8,0,0,0,4,0.95
9,3,3,0,13,0,6,0,8,2,11,1,0,0,1,5.25
11,2,2,1,2,3,6,1,12,2,5,0,3,3,3,2.85
8,2,2,1,2,2,7,2,11,3,4,1,8,1,4,61.1
10,3,14,0,13,1,12,1,11,2,3,2,0,0,4,72.75
2,3,11,0,2,0,10,2,5,1,12,3,3,0,2,16.3
5,1,14,1,7,1,4,2,4,3,9,1,12,3,5,0.0
2,2,10,3,8,0,2,0,11,3,7,2,0,0,1,51.65
2,2,5,0,12,0,12,1,7,1,5,2,0,0,5,5.35
9,3,10,1,2,1,14,2,12,1,0,0,0,0,1,15.75
11,0,6,0,8,0,2,2,13,3,0,0,0,0,2,9.4
11,2,12,0,10,1,13,3,8,2,8,0,3,0,2,0.0
2,0,5,1,6,3,13,0,11,2,8,0,11,3,5,0.0
14,0,5,0,6,3,4,3,13,2,9,1,11,0,5,0.0
6,2,4,1,4,3,12,1,2,0,7,1,2,2,1,54.9
12,3,3,2,14,3,12,1,5,2,0,0,0,0,4,16.7
3,2,12,0,5,2,4,2,11,3,14,3,0,0,3,0.5
3,0,10,2,10,3,12,1,5,1,7,1,0,0,5,4.55
13,1,2,2,9,0,4,0,4,2,0,0,0,0,5,0.75
4,3,11,2,3,2,7,3,5,2,7,2,2,2,4,14.3
12,3,6,2,9,0,11,1,10,1,4,3,0,0,4,6.25
2,1,3,3,10,3,7,1,5,2,0,0,0,0,2,6.4
8,0,3,1,13,2,11,3,12,1,6,3,0,0,1,5.0
12,3,9,1,5,0,11,3,7,0,2,1,4,3,4,0.0
5,3,12,0,10,2,5,0,14,2,0,0,0,0,4,12.45
8,0,12,2,7,2,7,0,3,0,0,0,0,0,4,2.85
10,0,10,2,6,1,7,3,7,1,10,1,9,2,2,95.9
8,3,11,3,13,0,5,3,14,3,2,0,0,0,3,18.05
4,1,13,0,2,3,7,0,12,3,6,3,0,0,4,0.05
3,1,12,0,7,1,7,3,13,0,0,0,0,0,5,1.2
9,1,5,0,3,2,11,1,3,3,2,0,4,3,4,0.0
11,3,13,1,8,2,12,2,7,3,10,1,10,2,2,0.0
9,3,13,2,3,0,6,0,5,2,11,3,0,0,1,5.35
5,1,10,1,12,0,4,0,12,2,0,0,0,0,5,1.55
6,1,4,0,12,3,10,0,13,0,0,0,0,0,4,1.9
7,1,10,1,4,2,10,3,14,2,9,1,0,0,1,49.1
12,2,13,0,4,1,6,0,11,1,8,2,13,2,2,14.95
7,2,2,3,14,0,9,3,3,0,7,0,6,1,1,35.7
7,2,13,0,7,3,5,0,6,1,0,0,0,0,4,9.55
2,3,4,3,13,3,12,1,14,0,8,0,0,0,3,0.55
6,0,9,3,12,1,7,1,4,0,13,2,0,0,5,0.05
10,3,2,0,14,3,10,1,14,1,6,2,0,0,4,8.0
11,3,2,1,8,1,3,1,3,3,4,1,0,0,2,10.95
10,0,14,2,6,1,12,1,3,3,0,0,0,0,1,11.6
4,3,8,0,5,0,7,1,2,1,11,1,0,0,5,5.1
6,3,2,3,5,0,7,1,10,1,0,0,0,0,5,2.35
4,3,13,2,4,1,3,2,14,0,13,0,5,1,5,54.15
5,0,13,3,2,2,9,1,11,1,4,2,0,0,5,0.15
5,0,9,1,10,0,7,1,4,3,3,2,0,0,1,10.65
5,0,8,3,3,3,10,2,11,1,0,0,0,0,1,13.2
4,2,2,0,6,3,13,0,3,1,2,1,7,3,2,16.3
9,0,3,1,2,1,2,2,11,3,5,0,0,0,1,7.3
10,0,6,2,13,2,5,2,7,2,7,1,6,3,2,21.0
3,3,7,3,5,0,11,2,6,3,9,3,14,0,3,0.0
12,1,8,1,13,3,2,0,8,3,5,2,2,3,4,5.5
10,2,5,3,13,2,8,0,4,2,0,0,0,0,1,14.55
10,2,14,3,2,2,10,3,6,0,6,1,0,0,4,8.6
7,0,6,2,6,1,2,2,5,1,5,3,0,0,4,7.75
3,1,3,3,8,0,10,0,2,3,12,2,7,3,3,3.85
11,2,6,0,10,0,14,2,3,2,10,2,10,3,3,0.0
13,2,8,0,6,1,11,3,3,2,14,1,0,0,3,0.4
5,0,10,1,3,1,12,3,9,1,8,0,9,3,2,0.0
13,1,12,0,3,0,13,0,11,3,0,0,0,0,3,19.25
7,3,11,2,13,1,13,2,11,3,8,2,0,0,5,5.05
2,2,11,0,4,1,4,2,14,3,0,0,0,0,2,6.15
7,1,12,2,2,2,12,3,5,2,4,1,0,0,1,45.95
11,1,4,3,7,1,13,0,6,1,0,0,0,0,3,4.85
11,0,14,0,8,3,2,2,10,1,0,0,0,0,1,14.05
11,1,13,0,8,2,13,1,7,3,5,2,0,0,5,7.0
7,3,11,3,6,3,12,1,14,2,8,2,0,0,4,0.25
12,0,7,3,6,1,8,0,8,2,10,3,0,0,5,3.1
13,1,7,1,6,0,9,3,12,1,11,3,0,0,4,2.3
6,0,7,3,3,3,4,3,2,0,0,0,0,0,3,11.75
3,1,13,2,9,1,13,1,12,0,0,0,0,0,5,10.85
7,3,3,3,5,0,14,3,14,0,3,1,0,0,2,29.55
14,3,10,1,11,2,2,0,6,1,4,3,0,0,3,0.6
6,3,4,2,10,0,4,0,4,1,13,2,8,1,2,89.95
8,0,11,2,5,0,2,3,13,0,9,0,0,0,4,3.55
13,1,8,3,3,0,10,0,14,2,7,0,4,2,3,0.0
4,0,14,0,11,1,5,0,4,3,0,0,0,0,5,17.15
13,0,12,2,2,3,6,3,13,3,2,1,5,2,1,49.4
14,1,2,0,6,0,11,1,7,3,0,0,0,0,5,1.2
11,3,9,0,6,2,9,3,5,2,12,0,4,3,4,1.2
9,3,3,2,14,1,3,1,9,0,11,3,0,0,2,75.8
13,2,3,2,14,1,5,0,11,0,0,0,0,0,1,11.85
14,3,3,3,11,2,5,2,6,3,12,0,14,0,3,5.3
14,0,6,2,2,2,12,1,4,0,0,0,0,0,5,1.45
